year,RawRingWidth_mm,GrowthIndex
1579,0.375,0.88
1580,0.21,0.731
1581,0.386,0.849
1582,0.285,0.748
1583,0.142,0.628
1584,0.291,0.718
1585,0.707,1.015
1586,0.456,0.81
1587,0.056,0.498
1588,0.314,0.677
1589,0.319,0.656
1590,0.403,0.719
1591,0.518,0.783
1592,0.446,0.717
1593,0.481,0.734
1594,0.644,0.843
1595,0.516,0.733
1596,0.797,0.944
1597,0.463,0.667
1598,0.662,0.829
1599,0.571,0.727
1600,0.467,0.653
1601,1.024,1.062
1602,1.185,1.163
1603,0.858,0.93
1604,0.591,0.721
1605,0.46,0.607
1606,0.498,0.628
1607,0.677,0.754
1608,0.703,0.762
1609,0.94,0.938
1610,1.05,1.008
1611,1.13,1.069
1612,1.232,1.137
1613,0.922,0.906
1614,0.912,0.901
1615,0.686,0.831
1616,0.695,0.832
1617,0.502,0.618
1618,0.629,0.743
1619,0.607,0.692
1620,0.506,0.606
1621,0.752,0.857
1622,0.605,0.7
1623,0.527,0.613
1624,0.418,0.481
1625,0.525,0.6
1626,0.449,0.493
1627,0.473,0.518
1628,0.53,0.567
1629,0.477,0.497
1630,0.803,0.823
1631,0.641,0.659
1632,0.314,0.323
1633,0.417,0.41
1634,0.704,0.719
1635,0.423,0.416
1636,0.499,0.49
1637,0.649,0.626
1638,0.636,0.608
1639,0.739,0.714
1640,0.611,0.58
1641,0.66,0.629
1642,0.723,0.685
1643,0.564,0.514
1644,0.552,0.501
1645,0.345,0.281
1646,0.339,0.268
1647,0.408,0.345
1648,0.398,0.343
1649,0.307,0.219
1650,0.314,0.203
1651,0.518,0.449
1652,0.517,0.446
1653,0.513,0.456
1654,0.637,0.595
1655,0.917,0.893
1656,1.108,1.066
1657,1.082,1.043
1658,1.061,1.036
1659,1.06,1.035
1660,0.982,0.951
1661,0.959,0.944
1662,0.798,0.781
1663,0.59,0.57
1664,0.722,0.701
1665,0.646,0.609
1666,0.668,0.616
1667,0.733,0.66
1668,0.823,0.753
1669,0.86,0.772
1670,0.807,0.706
1671,0.854,0.756
1672,0.925,0.846
1673,1.085,1.004
1674,1.125,1.05
1675,0.934,0.872
1676,0.971,0.903
1677,1.154,1.091
1678,1.162,1.112
1679,0.976,0.936
1680,1.053,1.01
1681,0.991,0.954
1682,1.03,0.996
1683,0.887,0.843
1684,1.093,1.048
1685,0.989,0.933
1686,1.007,0.944
1687,1.032,0.955
1688,1.196,1.126
1689,1.322,1.252
1690,1.417,1.345
1691,1.406,1.351
1692,1.676,1.604
1693,1.779,1.711
1694,1.749,1.679
1695,1.962,1.866
1696,1.816,1.721
1697,1.632,1.561
1698,1.477,1.418
1699,1.373,1.324
1700,1.36,1.291
1701,1.378,1.301
1702,1.44,1.378
1703,1.575,1.521
1704,1.332,1.306
1705,1.492,1.457
1706,1.857,1.814
1707,1.619,1.605
1708,1.556,1.551
1709,1.547,1.534
1710,1.544,1.515
1711,1.579,1.553
1712,1.67,1.628
1713,1.916,1.862
1714,1.796,1.773
1715,1.793,1.77
1716,1.806,1.778
1717,2.006,1.958
1718,2.078,2.014
1719,2.13,2.031
1720,1.673,1.641
1721,1.949,1.889
1722,1.734,1.66
1723,1.68,1.636
1724,1.891,1.803
1725,2.068,1.969
1726,1.961,1.896
1727,1.789,1.745
1728,1.759,1.707
1729,1.554,1.537
1730,1.546,1.529
1731,1.523,1.515
1732,1.577,1.563
1733,1.536,1.516
1734,1.627,1.588
1735,1.599,1.557
1736,1.581,1.557
1737,1.547,1.514
1738,1.452,1.422
1739,1.485,1.449
1740,1.706,1.65
1741,1.57,1.532
1742,1.645,1.607
1743,1.657,1.634
1744,1.541,1.538
1745,1.617,1.604
1746,1.701,1.69
1747,1.539,1.535
1748,1.619,1.601
1749,1.516,1.498
1750,1.637,1.614
1751,1.59,1.562
1752,1.719,1.669
1753,1.686,1.659
1754,1.664,1.636
1755,1.598,1.571
1756,1.652,1.622
1757,1.771,1.719
1758,1.632,1.598
1759,1.695,1.666
1760,1.525,1.512
1761,1.502,1.488
1762,1.397,1.389
1763,1.401,1.387
1764,1.51,1.481
1765,1.31,1.295
1766,1.261,1.25
1767,1.236,1.212
1768,1.219,1.182
1769,1.412,1.342
1770,1.217,1.157
1771,1.516,1.452
1772,1.355,1.3
1773,1.355,1.307
1774,1.267,1.22
1775,1.404,1.35
1776,1.556,1.491
1777,1.571,1.511
1778,1.517,1.431
1779,1.359,1.313
1780,1.318,1.279
1781,1.433,1.382
1782,1.49,1.44
1783,1.393,1.353
1784,1.189,1.141
1785,1.318,1.297
1786,1.197,1.163
1787,1.197,1.137
1788,1.313,1.235
1789,1.577,1.469
1790,1.399,1.323
1791,1.191,1.149
1792,0.981,0.96
1793,1.033,1.024
1794,1.07,1.053
1795,1.104,1.082
1796,1.13,1.126
1797,1,0.966
1798,0.92,0.874
1799,0.875,0.824
1800,0.804,0.76
1801,0.952,0.896
1802,1.169,1.083
1803,1.094,0.988
1804,0.911,0.852
1805,1.012,0.942
1806,1.013,0.949
1807,1.063,0.97
1808,1.283,1.179
1809,1.311,1.255
1810,1.411,1.357
1811,1.444,1.374
1812,1.43,1.367
1813,1.433,1.371
1814,1.308,1.237
1815,1.661,1.565
1816,1.377,1.308
1817,1.456,1.402
1818,1.377,1.323
1819,1.029,1.012
1820,1.018,0.995
1821,0.986,0.947
1822,1,0.951
1823,1.264,1.206
1824,1.289,1.228
1825,1.382,1.32
1826,1.01,0.977
1827,1.07,1.025
1828,1.164,1.096
1829,1.13,1.07
1830,1.383,1.302
1831,1.362,1.286
1832,1.487,1.425
1833,1.519,1.434
1834,1.559,1.466
1835,1.276,1.216
1836,1.157,1.096
1837,1.053,0.975
1838,1.31,1.22
1839,0.866,0.811
1840,0.874,0.82
1841,0.864,0.805
1842,1.005,0.942
1843,1.124,1.053
1844,1.136,1.071
1845,1.192,1.125
1846,0.974,0.915
1847,1.096,1.037
1848,1.261,1.18
1849,1.199,1.127
1850,1.147,1.083
1851,1.18,1.094
1852,1.109,1.03
1853,1.16,1.09
1854,1.359,1.263
1855,1.039,0.969
1856,0.628,0.575
1857,0.889,0.833
1858,1.04,0.967
1859,1.013,0.95
1860,1.099,1.033
1861,1.096,1.03
1862,0.912,0.855
1863,0.937,0.868
1864,1.043,0.956
1865,0.715,0.641
1866,0.969,0.906
1867,0.99,0.916
1868,1.016,0.948
1869,0.723,0.653
1870,0.965,0.888
1871,0.804,0.715
1872,0.918,0.833
1873,0.701,0.61
1874,0.841,0.765
1875,1.058,0.973
1876,1.083,0.975
1877,0.788,0.702
1878,0.874,0.784
1879,0.937,0.851
1880,1.129,1.041
1881,1.004,0.914
1882,1.109,1.028
1883,0.965,0.879
1884,1.131,1.039
1885,1.089,0.998
1886,1.136,1.037
1887,0.936,0.853
1888,0.91,0.823
1889,1.136,1.028
1890,1.263,1.17
1891,1.23,1.152
1892,0.858,0.847
1893,0.979,0.949
1894,1.127,1.064
1895,0.75,0.697
1896,0.953,0.872
1897,1.092,1.006
1898,1.149,1.084
1899,0.713,0.65
1900,0.674,0.59
1901,0.585,0.5
1902,0.942,0.869
1903,0.855,0.787
1904,0.807,0.754
1905,0.796,0.725
1906,0.798,0.73
1907,0.747,0.669
1908,0.626,0.538
1909,0.687,0.611
1910,0.699,0.614
1911,0.605,0.517
1912,0.6,0.51
1913,0.725,0.643
1914,0.588,0.503
1915,0.908,0.827
1916,0.759,0.692
1917,0.671,0.599
1918,0.702,0.615
1919,0.719,0.632
1920,0.758,0.668
1921,0.859,0.761
1922,0.849,0.754
1923,0.776,0.684
1924,0.743,0.649
1925,1.068,0.97
1926,1.042,0.936
1927,0.903,0.814
1928,0.88,0.794
1929,0.744,0.665
1930,0.735,0.66
1931,0.549,0.467
1932,0.77,0.7
1933,0.774,0.692
1934,0.641,0.558
1935,0.802,0.719
1936,0.807,0.719
1937,0.79,0.71
1938,0.908,0.814
1939,0.878,0.764
1940,0.798,0.693
1941,0.981,0.884
1942,1.062,0.971
1943,1.095,1.022
1944,0.839,0.779
1945,0.795,0.731
1946,1.145,1.069
1947,1.122,1.05
1948,0.936,0.878
1949,0.888,0.821
1950,0.927,0.845
1951,1.083,0.997
1952,1.094,1.009
1953,0.881,0.809
1954,0.999,0.931
1955,0.874,0.813
1956,0.878,0.804
1957,1.125,1.051
1958,1.182,1.116
1959,1.012,0.969
1960,0.924,0.866
1961,1.248,1.186
1962,1.159,1.104
1963,1.377,1.321
1964,1.213,1.164
1965,1.158,1.116
1966,1.25,1.199
1967,1.233,1.194
1968,1.193,1.17
1969,0.96,0.955
1970,1.149,1.123
1971,1.258,1.222
1972,0.914,0.907
1973,0.967,0.946
1974,0.923,0.888
1975,0.953,0.925
1976,0.886,0.846
1977,0.852,0.801
1978,0.734,0.673
1979,0.781,0.716
1980,0.733,0.66
1981,0.747,0.658
1982,0.671,0.581
1983,0.858,0.782
1984,0.719,0.641
1985,0.895,0.812
1986,0.9,0.836
1987,0.799,0.734
1988,0.807,0.741
1989,0.783,0.716
1990,0.784,0.705
1991,0.814,0.733
1992,0.663,0.574
1993,0.582,0.492
1994,0.558,0.451
1995,0.818,0.716
1996,0.772,0.669
1997,0.848,0.752
